%
[TOOLINF_L1]
N1 P0.3.9 E0.0 Q19 F0 S1 B0
N2 P0.15.15 E0.0 Q85 F0 S1 B0
N3 P0.0.0 E0.0 Q0 F0 S0 B0
N4 P0.2.32 E0.0 Q13 F0 S1 B0
N5 P0.2.22 E0.0 Q12 F0 S1 B0
N6 P0.7.16 E0.0 Q34 F0 S1 B0
N7 P0.8.56 E0.0 Q15 F0 S1 B0
N8 P0.7.38 E0.0 Q21 F0 S1 B0
N9 P0.13.55 E0.0 Q18 F0 S1 B0
N10 P0.9.41 E0.0 Q18 F0 S1 B0
N11 P0.3.7 E0.0 Q18 F0 S1 B0
N12 P0.3.52 E0.0 Q17 F0 S1 B0
N13 P0.0.28 E0.0 Q8 F0 S1 B0
N14 P0.4.5 E0.0 Q20 F0 S1 B0
N15 P0.0.0 E0.0 Q0 F0 S0 B0
N16 P0.0.0 E0.0 Q0 F0 S0 B0
N17 P0.8.28 E0.0 Q24 F0 S1 B0
N18 P0.0.0 E0.0 Q0 F0 S0 B0
N19 P0.0.0 E0.0 Q0 F0 S0 B0
N20 P0.2.26 E0.0 Q11 F0 S1 B0
N21 P0.5.49 E0.0 Q8 F0 S1 B0
N22 P0.0.0 E0.0 Q0 F0 S0 B0
N23 P0.0.0 E0.0 Q0 F0 S0 B0
N24 P0.0.0 E0.0 Q0 F0 S0 B0
N25 P0.0.0 E0.0 Q0 F0 S0 B0
N26 P0.0.0 E0.0 Q0 F0 S0 B0
N27 P0.0.0 E0.0 Q0 F0 S0 B0
N28 P0.0.0 E0.0 Q0 F0 S0 B0
N29 P0.0.0 E0.0 Q0 F0 S0 B0
N30 P0.0.0 E0.0 Q0 F0 S0 B0
N31 P0.0.0 E0.0 Q0 F0 S0 B0
N32 P0.0.0 E0.0 Q0 F0 S0 B0
N33 P0.0.0 E0.0 Q0 F0 S0 B0
N34 P0.0.0 E0.0 Q0 F0 S0 B0
N35 P0.0.0 E0.0 Q0 F0 S0 B0
N36 P0.0.0 E0.0 Q0 F0 S0 B0
N37 P0.0.0 E0.0 Q0 F0 S0 B0
N38 P0.0.0 E0.0 Q0 F0 S0 B0
N39 P0.0.0 E0.0 Q0 F0 S0 B0
N40 P0.0.0 E0.0 Q0 F0 S0 B0
N41 P0.0.0 E0.0 Q0 F0 S0 B0
N42 P0.0.0 E0.0 Q0 F0 S0 B0
N43 P0.0.0 E0.0 Q0 F0 S0 B0
N44 P0.0.0 E0.0 Q0 F0 S0 B0
